driver_index,lap,lap_c_flag,cp,is_sector,cp_time,position
0,2,3,105,False,115.5831,9.0
0,2,3,106,False,116.0141,9.0
0,2,3,107,False,116.4253,9.0
0,2,3,108,False,117.0741,9.0
0,2,3,109,False,117.598,9.0
0,2,3,110,False,118.0468,9.0
0,2,3,111,False,118.5848,9.0
0,2,3,112,False,119.0526,9.0
0,2,3,113,False,119.4869,9.0
0,2,3,114,False,119.9756,9.0
0,2,3,115,False,120.314,9.0
0,3,2,0,True,120.56,9.0
0,3,2,1,False,120.8359,9.0
0,3,2,2,False,121.1042,9.0
0,3,2,3,False,121.6308,9.0
0,3,2,4,False,122.0318,9.0
0,3,2,5,False,122.505,9.0
0,3,2,6,False,123.3703,9.0
0,3,2,7,False,123.71,9.0
0,3,2,8,False,124.2435,9.0
0,3,2,9,False,125.0227,9.0
0,3,2,10,False,125.5903,9.0
0,3,2,11,False,126.1187,9.0
0,3,2,12,False,126.6166,9.0
0,3,2,13,False,127.0764,9.0
0,3,2,14,False,127.5169,9.0
0,3,2,15,False,127.788,9.0
0,3,2,16,False,128.0551,9.0
0,3,2,17,False,128.5748,9.0
0,3,2,18,False,129.1072,9.0
0,3,2,19,False,129.6884,9.0
0,3,2,20,False,130.1406,9.0
0,3,2,21,False,130.7937,9.0
0,3,2,22,False,131.2046,9.0
0,3,2,23,False,132.1083,9.0
0,3,2,24,False,133.0662,9.0
0,3,2,25,False,133.818,9.0
0,3,2,26,False,134.3821,9.0
0,3,2,27,False,134.8697,9.0
0,3,2,28,False,135.4186,9.0
0,3,2,29,False,135.9576,9.0
0,3,2,30,False,136.321,9.0
0,3,2,31,False,136.7864,9.0
0,3,2,32,False,137.2027,9.0
0,3,2,33,False,137.7394,9.0
0,3,2,34,False,138.4433,9.0
0,3,2,35,False,139.018,9.0
0,3,2,36,True,139.4792,9.0
0,3,2,37,False,140.0207,9.0
0,3,2,38,False,140.2314,9.0
0,3,2,39,False,140.7834,9.0
0,3,2,40,False,141.4211,9.0
0,3,2,41,False,142.0867,9.0
0,3,2,42,False,142.7077,9.0
0,3,2,43,False,143.2317,9.0
0,3,2,44,False,143.8056,9.0
0,3,2,45,False,144.1601,9.0
0,3,2,46,False,144.5105,9.0
0,3,2,47,False,144.9478,9.0
0,3,2,48,False,145.3391,9.0
0,3,2,49,False,145.7142,9.0
0,3,2,50,False,146.0795,9.0
0,3,2,51,False,146.5595,9.0
0,3,2,52,False,147.0299,9.0
0,3,2,53,False,147.5118,9.0
0,3,2,54,False,147.987,9.0
0,3,2,55,False,148.3487,9.0
0,3,2,56,False,148.7118,9.0
0,3,2,57,False,149.275,9.0
0,3,2,58,False,149.5302,9.0
0,3,2,59,False,149.7803,9.0
0,3,2,60,False,150.0485,9.0
0,3,2,61,False,150.3187,9.0
0,3,2,62,False,150.6587,9.0
0,3,2,63,False,150.9837,9.0
0,3,2,64,False,151.2173,9.0
0,3,2,65,False,151.4552,9.0
0,3,2,66,False,151.6932,9.0
0,3,2,67,False,151.9343,9.0
0,3,2,68,False,152.1842,9.0
0,3,2,69,True,152.4472,9.0
0,3,2,70,False,152.8088,9.0
0,3,2,71,False,153.3365,9.0
0,3,2,72,False,153.7366,9.0
0,3,2,73,False,153.9982,9.0
0,3,2,74,False,154.3421,9.0
0,3,2,75,False,154.618,9.0
0,3,2,76,False,155.0135,9.0
0,3,2,77,False,155.4993,9.0
0,3,2,78,False,155.9831,9.0
0,3,2,79,False,156.3652,8.0
0,3,2,80,False,156.7337,8.0
0,3,2,81,False,157.1803,8.0
0,3,2,82,False,157.6364,8.0
0,3,2,83,False,157.9715,8.0
0,3,2,84,False,158.3012,8.0
0,3,2,85,False,158.6543,8.0
0,3,2,86,False,159.0571,8.0
0,3,2,87,False,159.86,8.0
0,3,2,88,False,160.4633,8.0
0,3,2,89,False,161.118,8.0
0,3,2,90,False,161.6494,8.0
0,3,2,91,False,162.1955,8.0
0,3,2,92,False,162.6544,8.0
0,3,2,93,False,163.0829,8.0
0,3,2,94,False,163.4299,8.0
0,3,2,95,False,163.7771,8.0
0,3,2,96,False,164.2342,8.0
0,3,2,97,False,164.6518,8.0
0,3,2,98,False,165.2446,8.0
0,3,2,99,False,165.6372,8.0
0,3,2,100,False,166.1333,8.0
0,3,2,101,False,166.9857,8.0
0,3,2,102,False,167.635,8.0
0,3,2,103,False,168.375,8.0
0,3,2,104,False,168.7089,8.0
0,3,2,105,False,169.0182,8.0
0,3,2,106,False,169.4267,8.0
0,3,2,107,False,169.8195,8.0
0,3,2,108,False,170.4611,8.0
0,3,2,109,False,170.9782,8.0
0,3,2,110,False,171.4217,8.0
0,3,2,111,False,171.9539,8.0
0,3,2,112,False,172.4169,8.0
0,3,2,113,False,172.8473,8.0
0,3,2,114,False,173.331,8.0
0,3,2,115,False,173.6662,8.0
0,4,3,0,True,173.9095,8.0
0,4,3,1,False,174.1822,8.0
0,4,3,2,False,174.4474,8.0
0,4,3,3,False,174.9673,8.0
0,4,3,4,False,175.3646,8.0
0,4,3,5,False,175.84,8.0
0,4,3,6,False,176.686,8.0
0,4,3,7,False,177.0236,8.0
0,4,3,8,False,177.5793,8.0
0,4,3,9,False,178.4256,8.0
0,4,3,10,False,179.0173,8.0
