driver_index,lap,lap_time,c_flag,time_start,time_end,position_start,position_end
2,11,53.17529999999999,3,543.5558,596.7311,8.0,8.0
2,12,54.48660000000007,2,596.7311,651.2177,8.0,8.0
2,13,53.147699999999986,2,651.2177,704.3654,8.0,8.0
2,14,53.47039999999993,2,704.3654,757.8358,8.0,8.0
2,15,53.86180000000002,3,757.8358,811.6976,8.0,3.0
2,16,54.15390000000002,0,811.6976,865.8515,3.0,2.0
2,17,53.26710000000003,0,865.8515,919.1186,2.0,1.0
2,18,53.15210000000002,2,919.1186,972.2707,1.0,1.0
2,19,53.84789999999998,2,972.2707,1026.1186,1.0,1.0
2,20,62.55930000000012,2,1026.1186,1088.6779000000001,1.0,5.0
2,21,57.01999999999998,2,1088.6779000000001,1145.6979000000001,5.0,7.0
2,22,53.12069999999994,0,1145.6979000000001,1198.8186,7.0,6.0
2,23,52.92640000000006,2,1198.8186,1251.7450000000001,6.0,6.0
2,24,52.81490000000008,3,1251.7450000000001,1304.5599000000002,6.0,6.0
2,25,54.580799999999954,0,1304.5599000000002,1359.1407000000002,6.0,5.0
2,26,53.049999999999955,0,1359.1407000000002,1412.1907,5.0,5.0
2,27,52.528099999999995,0,1412.1907,1464.7188,5.0,5.0
2,28,52.96309999999994,0,1464.7188,1517.6819,5.0,5.0
2,29,54.10470000000009,0,1517.6819,1571.7866000000001,5.0,5.0
2,30,52.97440000000006,3,1571.7866000000001,1624.7610000000002,5.0,5.0
2,31,55.43469999999979,2,1624.7610000000002,1680.1957,5.0,5.0
2,32,53.388600000000224,3,1680.1957,1733.5843000000002,5.0,5.0
2,33,53.653699999999844,0,1733.5843000000002,1787.238,5.0,5.0
2,34,53.261400000000094,2,1787.238,1840.4994000000002,5.0,4.0
2,35,53.491399999999885,0,1840.4994000000002,1893.9908,4.0,3.0
2,36,62.465000000000146,2,1893.9908,1956.4558000000002,3.0,4.0
2,37,57.3442,1,1956.4558000000002,2013.8000000000002,4.0,5.0
2,38,53.02129999999988,0,2013.8000000000002,2066.8213,5.0,5.0
2,39,52.70979999999963,0,2066.8213,2119.5310999999997,5.0,5.0
2,40,53.002300000000105,2,2119.5310999999997,2172.5334,5.0,5.0
2,41,53.170300000000225,0,2172.5334,2225.7037,5.0,5.0
2,42,53.10809999999992,0,2225.7037,2278.8118,5.0,5.0
2,43,53.167599999999766,0,2278.8118,2331.9793999999997,5.0,5.0
2,44,52.71489999999994,3,2331.9793999999997,2384.6942999999997,5.0,5.0
2,45,53.70550000000003,0,2384.6942999999997,2438.3997999999997,5.0,5.0
2,46,52.989500000000135,2,2438.3997999999997,2491.3893,5.0,5.0
2,47,53.48959999999988,0,2491.3893,2544.8788999999997,5.0,5.0
2,48,53.576300000000174,0,2544.8788999999997,2598.4552,5.0,5.0
2,49,53.833500000000186,0,2598.4552,2652.2887,5.0,5.0
