driver_id,time_start,time_end,lap,tire_compound_start,tire_wear_start,tire_wear_end,tire_perc_start,tire_perc_end,fuel_used_start,fuel_used_end,fuel_perc_start,fuel_perc_end,hit_points_start,hit_points_end,is_inlap,is_outlap,tire_perc_avg,fuel_perc_avg,hit_points_avg,fuel_used,tire_used,lap_time,position_start,position_end
19,715994,1274778.0,2,2,62085.0,118823.0,97.3922631048387,95.00911458333333,0.0,0.0,0.0,0.0,10000,10000.0,False,False,96.20068884408602,0.0,10000.0,0.0,56738.0,55.8784,19,19
0,1205600,1739095.0,3,1,116199.0,175460.0,93.49243951612902,90.17361111111111,0.0,0.0,0.0,0.0,10000,10000.0,False,False,91.83302531362007,0.0,10000.0,0.0,59261.0,53.3495,9,8
1,1172302,1708597.0,3,1,118884.0,180046.0,93.34206989247312,89.91677867383513,0.0,0.0,0.0,0.0,10000,10000.0,False,False,91.62942428315412,0.0,10000.0,0.0,61162.0,53.6295,3,1
2,1200704,1745592.0,3,2,116829.0,183045.0,95.09286794354838,92.31161794354838,0.0,0.0,0.0,0.0,10000,10000.0,False,False,93.70224294354838,0.0,10000.0,0.0,66216.0,54.4888,8,9
3,1168863,1723579.0,3,1,123871.0,184751.0,93.06278001792114,89.65328181003585,0.0,0.0,0.0,0.0,10000,10000.0,False,False,91.3580309139785,0.0,10000.0,0.0,60880.0,55.4716,2,2
4,1191353,1730673.0,3,1,120131.0,181629.0,93.27223342293907,89.828125,0.0,0.0,0.0,0.0,10000,10000.0,False,False,91.55017921146953,0.0,10000.0,0.0,61498.0,53.932,6,5
5,1187216,1727644.0,3,1,121458.0,181769.0,93.19791666666667,89.82028449820788,0.0,0.0,0.0,0.0,10000,10000.0,False,False,91.50910058243727,0.0,10000.0,0.0,60311.0,54.0428,5,4
6,1183636,1725314.0,3,1,119911.0,178613.0,93.28455421146953,89.99703181003585,0.0,0.0,0.0,0.0,10000,10000.0,False,False,91.64079301075269,0.0,10000.0,0.0,58702.0,54.1678,4,3
7,1211359,1750415.0,3,1,110706.0,167310.0,93.80006720430107,90.63004032258064,0.0,0.0,0.0,0.0,10000,10000.0,False,False,92.21505376344086,0.0,10000.0,0.0,56604.0,53.9056,10,10
8,1161905,1732207.0,3,1,124021.0,192804.0,93.05437948028674,89.20228494623656,0.0,0.0,0.0,0.0,10000,10000.0,False,False,91.12833221326164,0.0,10000.0,0.0,68783.0,57.0302,1,6
9,1197580,1736119.0,3,2,118848.0,179737.0,95.00806451612902,92.4505628360215,0.0,0.0,0.0,0.0,10000,10000.0,False,False,93.72931367607526,0.0,10000.0,0.0,60889.0,53.8539,7,7
10,1270619,1828508.0,3,1,125201.0,182623.0,92.98829525089606,89.77245743727599,0.0,0.0,0.0,0.0,10000,10000.0,False,False,91.38037634408602,0.0,10000.0,0.0,57422.0,55.7889,18,19
11,1230123,1768414.0,3,2,129917.0,195282.0,94.54313676075269,91.7976310483871,0.0,0.0,0.0,0.0,10000,10000.0,False,False,93.17038390456989,0.0,10000.0,0.0,65365.0,53.8291,14,14
12,1360653,1954333.0,3,1,128304.0,198759.0,92.81451612903226,88.86878360215054,0.0,0.0,0.0,0.0,10000,10000.0,False,False,90.84164986559139,0.0,10000.0,0.0,70455.0,59.368,20,20
13,1239692,1772167.0,3,1,125884.0,188476.0,92.95004480286738,89.44466845878136,0.0,0.0,0.0,0.0,10000,10000.0,False,False,91.19735663082437,0.0,10000.0,0.0,62592.0,53.2475,16,16
14,1218422,1756465.0,3,1,122329.0,184731.0,93.14913754480287,89.65440188172043,0.0,0.0,0.0,0.0,10000,10000.0,False,False,91.40176971326164,0.0,10000.0,0.0,62402.0,53.8043,12,11
15,1225414,1762866.0,3,2,114170.0,175679.0,95.20455309139786,92.62100974462365,0.0,0.0,0.0,0.0,10000,10000.0,False,False,93.91278141801075,0.0,10000.0,0.0,61509.0,53.7452,13,13
16,1234720,1769996.0,3,1,116659.0,176341.0,93.46667786738351,90.12427195340501,0.0,0.0,0.0,0.0,10000,10000.0,False,False,91.79547491039426,0.0,10000.0,0.0,59682.0,53.5276,15,15
17,1244985,1789186.0,3,2,138720.0,210357.0,94.17338709677419,91.16444052419355,0.0,0.0,0.0,0.0,10000,10000.0,False,False,92.66891381048387,0.0,10000.0,0.0,71637.0,54.4201,17,17
18,1215241,1759534.0,3,1,118712.0,179088.0,93.35170250896057,89.97043010752688,0.0,0.0,0.0,0.0,10000,10000.0,False,False,91.66106630824373,0.0,10000.0,0.0,60376.0,54.4293,11,12
19,1274778,1821845.0,3,2,118823.0,177518.0,95.00911458333333,92.54376680107526,0.0,0.0,0.0,0.0,10000,10000.0,False,False,93.77644069220429,0.0,10000.0,0.0,58695.0,54.7067,19,18
0,1739095,2284051.0,4,1,175460.0,235579.0,90.17361111111111,86.80673163082437,0.0,0.0,0.0,0.0,10000,10000.0,False,False,88.49017137096774,0.0,10000.0,0.0,60119.0,54.4956,8,6
1,1708597,2239175.0,4,1,180046.0,240657.0,89.91677867383513,86.52234543010752,0.0,0.0,0.0,0.0,10000,10000.0,False,False,88.21956205197132,0.0,10000.0,0.0,60611.0,53.0578,1,1
2,1745592,2292905.0,4,2,183045.0,239832.0,92.31161794354838,89.92641129032258,0.0,0.0,0.0,0.0,10000,10000.0,False,False,91.11901461693549,0.0,10000.0,0.0,56787.0,54.7313,9,9
3,1723579,2259722.0,4,1,184751.0,246456.0,89.65328181003585,86.1975806451613,0.0,0.0,0.0,0.0,10000,10000.0,False,False,87.92543122759858,0.0,10000.0,0.0,61705.0,53.6143,2,3
4,1730673,2277694.0,4,1,181629.0,240574.0,89.828125,86.52699372759857,0.0,0.0,0.0,0.0,10000,10000.0,False,False,88.17755936379928,0.0,10000.0,0.0,58945.0,54.7021,5,4
5,1727644,2292116.0,4,1,181769.0,240821.0,89.82028449820788,86.5131608422939,0.0,0.0,0.0,0.0,10000,10000.0,False,False,88.16672267025089,0.0,10000.0,0.0,59052.0,56.4472,4,8
6,1725314,2258545.0,4,1,178613.0,239443.0,89.99703181003585,86.590333781362,0.0,0.0,0.0,0.0,10000,10000.0,False,False,88.29368279569893,0.0,10000.0,0.0,60830.0,53.3231,3,2
7,1750415,2294013.0,4,1,167310.0,224118.0,90.63004032258064,87.44858870967742,0.0,0.0,0.0,0.0,10000,10000.0,False,False,89.03931451612902,0.0,10000.0,0.0,56808.0,54.3598,10,10
8,1732207,2280452.0,4,1,192804.0,251523.0,89.20228494623656,85.91381048387098,0.0,0.0,0.0,0.0,10000,10000.0,False,False,87.55804771505376,0.0,10000.0,0.0,58719.0,54.8245,6,5
9,1736119,2287789.0,4,2,179737.0,240881.0,92.4505628360215,89.88235047043011,0.0,0.0,0.0,0.0,10000,10000.0,False,False,91.16645665322581,0.0,10000.0,0.0,61144.0,55.167,7,7
10,1828508,2378034.0,4,1,182623.0,247515.0,89.77245743727599,86.13827284946237,0.0,0.0,0.0,0.0,10000,10000.0,False,False,87.95536514336918,0.0,10000.0,0.0,64892.0,54.9526,19,19
